Diff_FromDomActDom,BL_IP,Created_within_1_year,Expire_in_13_months,mail_dt,cntry,msgid,tm,cn_typ,hop
0,0,0,0,0.0946502,0.3464221,0.7406285,0.7340001,0.8367861,1
0,0,0,0,0.9536384,0.3464221,0.7333057,0.3812082,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.9192883,0.5974101,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.6244711,0.6713413,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.4899323,0.2962128,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.2874115,0.4482833,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.7540749,0.4510935,0.8367861,1
0,0,0,0,0.8528212,0.3464221,0.3818094,0.9110807,0.8367861,1
0,0,0,0,0.8528212,0.3464221,0.9588552,0.6943775,0.8367861,1
0,0,0,0,0.8528212,0.3464221,0.9062129,0.1965553,0.8367861,1
0,1,0,0,0.1987317,0.2950699,0.1840659,0.8647282,0.8367861,1
0,0,0,0,0.8528212,0.3464221,0.6361997,0.7353354,0.8367861,1
0,0,0,0,0.8528212,0.3464221,0.3238779,0.1921978,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.2855649,0.412089,0.8367861,1
0,0,0,0,0.9536384,0.3464221,0.4325112,0.1187837,0.8367861,1
0,0,0,0,0.8528212,0.3464221,0.7126638,0.0451539,0.8367861,1
0,0,0,0,0.8528212,0.3464221,0.0927228,0.925419,0.8367861,1
0,0,0,0,0.8528212,0.3464221,0.5318318,0.1216909,0.8367861,1
0,0,0,0,0.8528212,0.3464221,0.4149915,0.467196,0.8367861,1
0,0,0,0,0.2845295,0.3464221,0.4529392,0.8297443,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.8711233,0.8007266,0.8367861,1
0,0,0,0,0.1987317,0.3464221,0.9932644,0.8841716,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.7011416,0.6019802,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.2487153,0.6894298,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.1978719,0.0664549,0.8367861,1
0,0,0,0,0.9536384,0.3464221,0.3853722,0.3443968,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.2772914,0.0383758,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.9471504,0.8868531,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.5014887,0.4311263,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.9793318,0.7827829,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.696741,0.3955498,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.36881,0.6262606,0.8367861,1
0,0,0,0,0.1987317,0.3464221,0.6935943,0.20219,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.6131153,0.4982908,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.6331261,0.8715769,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.1302084,0.1279427,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.1100556,0.4153483,0.8367861,1
0,0,0,0,0.9536384,0.3464221,0.1916813,0.7419159,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.4086241,0.3572341,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.3662063,0.267803,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.619619,0.2954699,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.5737396,0.4053034,0.8367861,1
0,0,0,0,0.2374592,0.3464221,0.7486943,0.9040184,0.8367861,1
0,0,0,0,0.2123537,0.3464221,0.3491036,0.3505389,0.8367861,1
0,0,0,0,0.4710486,0.3464221,0.0405323,0.4182772,0.8367861,1
0,0,0,0,0.4710486,0.3464221,0.8978121,0.4017474,0.8367861,1
0,0,0,0,0.4710486,0.3464221,0.1335186,0.9166031,0.8367861,1
0,0,0,0,0.4710486,0.3464221,0.1775537,0.7057942,0.8367861,1
0,0,0,0,0.4710486,0.3464221,0.1739899,0.7757954,0.8367861,1
0,0,0,0,0.9536384,0.3464221,0.5576056,0.5660567,0.8367861,1
0,0,0,0,0.4710486,0.3464221,0.6310651,0.8016028,0.8367861,1
0,0,0,0,0.4710486,0.3464221,0.6303673,0.1655879,0.8367861,1
0,0,0,0,0.7616563,0.3464221,0.1246329,0.3216282,0.8367861,1
0,0,0,0,0.7616563,0.3464221,0.9833267,0.3555872,0.8367861,1
0,0,0,0,0.9668402,0.3464221,0.5676687,0.8891576,0.8367861,1
0,0,0,0,0.2123537,0.3464221,0.2391,0.2778031,0.8367861,1
0,0,0,0,0.7616563,0.3464221,0.1648211,0.09748,0.8367861,1
0,0,0,0,0.7616563,0.3464221,0.0387506,0.83205,0.8367861,1
0,0,0,0,0.7616563,0.3464221,0.4692986,0.5072712,0.8367861,1
0,0,0,0,0.7616563,0.3464221,0.0867282,0.4563431,0.8367861,1
0,0,0,0,0.7616563,0.3464221,0.8921355,0.7616076,0.8367861,1
0,0,0,0,0.7616563,0.3464221,0.2066012,0.9729847,0.8367861,1
0,0,0,0,0.9536384,0.3464221,0.6115584,0.3782104,0.8367861,1
0,0,0,0,0.7616563,0.3464221,0.0995756,0.1012375,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.2068319,0.8040893,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.8195822,0.8043235,0.8367861,1
0,0,0,0,0.2123537,0.3464221,0.3359381,0.9848187,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.816353,0.9707369,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.4822944,0.5361107,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.0857326,0.4476919,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.5141297,0.6219278,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.9034126,0.4739246,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.6249854,0.9490027,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.3217084,0.7171604,0.8367861,1
0,0,0,0,0.425772,0.3464221,0.1104984,0.4545857,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.0559164,0.9733744,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.8722174,0.1887933,0.8367861,1
0,0,0,0,0.3290052,0.3464221,0.6441119,0.0345569,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.6940589,0.0155159,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.3360069,0.5142174,0.8367861,1
0,0,0,0,0.63358,0.3464221,0.3487388,0.149947,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.8208564,0.0988559,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.1776435,0.0737075,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.0209603,0.8436046,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.5699968,0.2247943,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.2149332,0.0991703,0.8367861,1
0,0,0,0,0.425772,0.3464221,0.5532406,0.9561027,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.0241422,0.8935492,0.8367861,1
0,0,0,0,0.3730858,0.3464221,0.5083688,0.7033118,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.6769238,0.6642717,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.1065375,0.2632158,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.685998,0.7568983,0.8367861,1
0,0,0,0,0.3155164,0.3464221,0.6427384,0.8670901,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.3724961,0.1386831,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.3462893,0.5362098,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.3983526,0.0507021,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.8430647,0.7887407,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.0183456,0.0412508,0.8367861,1
0,0,0,0,0.425772,0.3464221,0.7709515,0.923853,0.8367861,1
0,0,0,0,0.3290052,0.3464221,0.17191,0.5371624,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.8477766,0.9313047,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.1026415,0.6613638,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.0606676,0.3222691,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.7323563,0.8072827,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.1751014,0.7833341,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.3084866,0.0522288,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.8653594,0.3732276,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.6397143,0.8418894,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.4020714,0.3615563,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.4887361,0.4487696,0.8367861,1
0,0,0,0,0.8721021,0.3464221,0.8438219,0.3125424,0.8367861,1
0,0,0,0,0.456204,0.3464221,0.8480339,0.7143136,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.4650551,0.6789731,0.8367861,1
0,0,0,0,0.3563028,0.3464221,0.5113264,0.3445488,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.2379201,0.6366365,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.191064,0.8246123,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.0313219,0.4847983,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.4759477,0.1621013,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.6000531,0.9166031,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.385675,0.1716433,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.0929472,0.4165787,0.8367861,1
0,0,0,0,0.8721021,0.3464221,0.4395954,0.3674614,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.7196905,0.964818,0.8367861,1
0,0,0,0,0.456204,0.3464221,0.8849751,0.2174991,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.402176,0.0674682,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.9767635,0.2035222,0.8367861,1
0,0,0,0,0.6129695,0.3464221,0.8316766,0.5843157,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.2272109,0.5470759,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.7467285,0.7608862,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.2904402,0.2779868,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.8392634,0.711471,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.0752409,0.3871177,0.8367861,1
0,0,0,0,0.1658518,0.3464221,0.3736278,0.6834627,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.738111,0.9435044,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.1926208,0.7153352,0.8367861,1
0,0,0,0,0.3930561,0.3464221,0.417093,0.050048,0.8367861,1
0,0,0,0,0.456204,0.3464221,0.1603223,0.2780222,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.3110316,0.672189,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.3317979,0.2412457,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.2588425,0.3387779,0.8367861,1
0,0,0,0,0.7332995,0.3464221,0.4992853,0.5812633,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.7729778,0.5313151,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.5939923,0.0619449,0.8367861,1
0,0,0,0,0.1658518,0.3464221,0.9588445,0.2278547,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.2489789,0.885075,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.6562872,0.3722354,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.8163214,0.7733491,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.0911556,0.2988829,0.8367861,1
0,0,0,0,0.456204,0.3464221,0.7002737,0.9896688,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.8018246,0.9889378,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.4675585,0.4851457,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.1789855,0.4556963,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.721178,0.6966937,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.5028875,0.3705303,0.8367861,1
0,0,0,0,0.3730858,0.3464221,0.0896915,0.5987976,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.8732116,0.5158443,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.7100786,0.3968679,0.8367861,1
0,0,0,0,0.1946105,0.3464221,0.4249134,0.8774995,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.9234154,0.7008984,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.6860666,0.071539,0.8367861,1
0,0,0,0,0.456204,0.3464221,0.1134548,0.0226729,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.5925377,0.4847217,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.0670015,0.1200924,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.3115992,0.4331463,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.4837532,0.3034453,0.8367861,1
0,0,0,0,0.2593884,0.3464221,0.563867,0.0330644,0.8367861,1
0,0,0,0,0.6389599,0.3464221,0.5039957,0.1449156,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.9745927,0.8807835,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.1495562,0.731159,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.1582903,0.4537252,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.2577055,0.7142809,0.8367861,1
0,0,0,0,0.8739106,0.3464221,0.795269,0.0969066,0.8367861,1
0,0,0,0,0.456204,0.3464221,0.3783789,0.3823758,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.3066439,0.9008351,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.3917322,0.0286709,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.8796237,0.0386467,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.7690995,0.0975815,0.8367861,1
0,0,0,0,0.4315525,0.3464221,0.963324,0.0194336,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.2796778,0.6431461,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.5097786,0.0956002,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.2713368,0.0401196,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.6473741,0.3897415,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.9778498,0.956659,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.5898096,0.4991237,0.8367861,1
0,0,0,0,0.456204,0.3464221,0.4440982,0.5999923,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.6834036,0.1314194,0.8367861,1
0,0,0,0,0.3618321,0.3464221,0.5000898,0.2662816,0.8367861,1
0,0,0,0,0.5370544,0.3464221,0.7190078,0.8405353,0.8367861,1
0,0,0,0,0.4315525,0.3464221,0.0197587,0.2395192,0.8367861,1
0,0,0,0,0.5370544,0.3464221,0.4875883,0.1623274,0.8367861,1
0,0,0,0,0.5370544,0.3464221,0.9494262,0.9374257,0.8367861,1
0,0,0,0,0.5370544,0.3464221,0.7673064,0.7495545,0.8367861,1
0,0,0,0,0.5370544,0.3464221,0.6359832,0.8169131,0.8367861,1
0,0,0,0,0.5370544,0.3464221,0.7725338,0.6041483,0.8367861,1
0,0,0,0,0.5370544,0.3464221,0.7149214,0.5189207,0.8367861,1
0,0,0,0,0.5370544,0.3464221,0.5388258,0.1577339,0.8367861,1
0,0,0,0,0.456204,0.3464221,0.9994238,0.1410147,0.8367861,1
0,0,0,0,0.5370544,0.3464221,0.7890265,0.5428407,0.8367861,1
0,0,0,0,0.5370544,0.3464221,0.6681694,0.3086078,0.8367861,1
0,0,0,0,0.4315525,0.3464221,0.0207802,0.5514988,0.8367861,1
0,0,0,0,0.7869134,0.3464221,0.9151627,0.5850738,0.8367861,1
0,0,0,0,0.7869134,0.3464221,0.2905212,0.9561678,0.8367861,1
0,0,0,0,0.087592,0.3464221,0.1640633,0.7949867,0.8367861,1
0,0,0,0,0.087592,0.3464221,0.5877671,0.2069415,0.8367861,1
0,0,0,0,0.087592,0.3464221,0.5665049,0.4802979,0.8367861,1
0,0,0,0,0.087592,0.3464221,0.0720345,0.2276287,0.8367861,1
0,0,0,0,0.087592,0.3464221,0.6711515,0.3519244,0.8367861,1
0,0,0,0,0.087592,0.3464221,0.8983642,0.1412318,0.8367861,1
0,0,0,0,0.456204,0.3464221,0.9216352,0.6749059,0.8367861,1
0,0,0,0,0.087592,0.3464221,0.8475853,0.1339118,0.8367861,1
0,0,0,0,0.4315525,0.3464221,0.2289005,0.0612577,0.8367861,1
0,0,0,0,0.087592,0.3464221,0.7518129,0.8682049,0.8367861,1
0,0,0,0,0.087592,0.3464221,0.0246012,0.7819708,0.8367861,1
0,0,0,0,0.2656783,0.3464221,0.9493121,0.2618167,0.8367861,1
0,0,0,0,0.2656783,0.3464221,0.7669301,0.2326674,0.8367861,1
0,0,0,0,0.2656783,0.3464221,0.3875177,0.3341384,0.8367861,1
0,0,0,0,0.2656783,0.3464221,0.2928249,0.0443259,0.8367861,1
0,0,0,0,0.2656783,0.3464221,0.1536606,0.1050568,0.8367861,1
0,0,0,0,0.2656783,0.3464221,0.6934806,0.6970926,0.8367861,1
0,0,0,0,0.2656783,0.3464221,0.5486171,0.6317391,0.8367861,1
0,0,0,0,0.456204,0.3464221,0.1106334,0.639694,0.8367861,1
0,0,0,0,0.4315525,0.3464221,0.5909224,0.8149828,0.8367861,1
0,0,0,0,0.2656783,0.3464221,0.8035472,0.6139791,0.8367861,1
0,0,0,0,0.2656783,0.3464221,0.6047474,0.7488236,0.8367861,1
0,0,0,0,0.2656783,0.3464221,0.9457482,0.9293622,0.8367861,1
0,0,0,0,0.6778813,0.3464221,0.6011825,0.1921731,0.8367861,1
0,0,0,0,0.6778813,0.3464221,0.2748346,0.4486775,0.8367861,1
0,0,0,0,0.6778813,0.3464221,0.9738055,0.8188331,0.8367861,1
0,0,0,0,0.6778813,0.3464221,0.6551035,0.1023712,0.8367861,1
0,0,0,0,0.6778813,0.3464221,0.8716087,0.8689084,0.8367861,1
0,0,0,0,0.6778813,0.3464221,0.9932437,0.7106819,0.8367861,1
0,0,0,0,0.6778813,0.3464221,0.9038005,0.765968,0.8367861,1
0,0,0,0,0.4315525,0.3464221,0.6440085,0.8387666,0.8367861,1
0,0,0,0,0.9095135,0.3464221,0.8725705,0.479323,0.8367861,1
0,0,0,0,0.2461386,0.3464221,0.4993875,0.1699424,0.8367861,1
0,0,0,0,0.2461386,0.3464221,0.9852906,0.756113,0.8367861,1
0,0,0,0,0.2461386,0.3464221,0.2582474,0.1379353,0.8367861,1
0,0,0,0,0.2461386,0.3464221,0.3088281,0.4216683,0.8367861,1
0,0,0,0,0.2461386,0.3464221,0.8908953,0.3017072,0.8367861,1
0,0,0,0,0.2461386,0.3464221,0.8220472,0.1727951,0.8367861,1
0,0,0,0,0.2461386,0.3464221,0.5914634,0.5698208,0.8367861,1
0,0,0,0,0.054703,0.3464221,0.3898596,0.5998784,0.8367861,1
0,0,0,0,0.054703,0.3464221,0.9109889,0.9258651,0.8367861,1
0,0,0,0,0.4315525,0.3464221,0.8653852,0.3330267,0.8367861,1
0,0,0,0,0.9095135,0.3464221,0.3468305,0.277589,0.8367861,1
0,0,0,0,0.054703,0.3464221,0.9137349,0.8375276,0.8367861,1
0,0,0,0,0.054703,0.3464221,0.2123002,0.9709196,0.8367861,1
0,0,0,0,0.054703,0.3464221,0.9045291,0.290614,0.8367861,1
